City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
491,Susanville,US,62.44,clear sky,40.4163,-120.653,Comfort Inn & Suites
492,Iquitos,PE,75.24,clear sky,-3.7481,-73.2472,Cortez Malaga Techy Caroly
493,Rantepao,ID,84.99,few clouds,-2.9701,119.8978,Hotel Luta Resort
494,Kerrville,US,73.94,clear sky,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
495,Dillon,US,64.74,light rain,34.4166,-79.3712,Dillon Express Inn
498,Riyadh,SA,75.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
500,Luanda,AO,72.73,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
501,Altamira,BR,74.66,few clouds,-3.2033,-52.2064,Requinte Hotel
502,Mackay,AU,80.69,clear sky,-21.15,149.2,International Lodge Motel
506,Urucara,BR,76.39,scattered clouds,-2.5364,-57.76,Pousada Maria Bonita
508,Tartus,SY,79.77,clear sky,34.889,35.8866,Mahmoud’s Home
510,Sanandaj,IR,75.47,clear sky,35.3144,46.9923,Sanandaj Tourist Hotel
511,Shitanjing,CN,74.37,scattered clouds,39.2342,106.3439,Yingbin Hotel
512,Natal,BR,79.02,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
514,Yinchuan,CN,81.03,broken clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
516,Grand Gaube,MU,73.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
518,Makokou,GA,66.29,scattered clouds,0.5738,12.8642,Hôtel Arizona
522,Ilebo,CD,68.67,light rain,-4.3167,20.5833,Hôtel BUMAK
523,Neuquen,AR,64.29,light rain,-38.9516,-68.0591,Hotel del Comahue
525,Takaungu,KE,76.37,overcast clouds,-3.6837,39.8566,Takaungu House
526,Puga,MX,70.43,scattered clouds,21.5833,-104.8167,Del sol
527,Balikpapan,ID,85.19,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
528,Gorontalo,ID,86.81,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
535,Chokwe,MZ,72.25,clear sky,-24.5333,32.9833,Complexo Sonho Real
536,Padang,ID,86.05,broken clouds,-0.9492,100.3543,Mercure Padang
540,Ritchie,ZA,63.61,broken clouds,-29.038,24.6028,Riverside Country Club Modderrivier
541,Biloela,AU,81.05,clear sky,-24.4167,150.5,Silo Motor Inn Biloela
542,Mount Pleasant,US,62.1,moderate rain,32.7941,-79.8626,Best Western Patriots Point
544,Bayji,IQ,83.35,clear sky,34.9311,43.487,دار الضيافة
545,Omboue,GA,74.5,scattered clouds,-1.5746,9.2618,Hotel Olako
546,Mandurah,AU,73.36,clear sky,-32.55,115.7,Atrium Hotel Mandurah
547,Ukiah,US,70.65,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
548,Labrea,BR,72.64,light rain,-7.2586,-64.7981,Hotel Novo Horizonte
549,Bibiani,GH,67.44,broken clouds,6.4635,-2.3194,Rodick Hotel
550,Xichang,CN,75.88,scattered clouds,27.8964,102.2634,Xichang ibis Hotel
551,Maceio,BR,71.04,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
552,Wollongong,AU,64.99,light rain,-34.4333,150.8833,Flinders Motel
555,Tayu,ID,89.42,moderate rain,-6.5397,111.0518,Toko pakaian bu is Tayu
556,Tiarei,PF,78.82,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
557,Nouadhibou,MR,73.38,broken clouds,20.931,-17.0347,El Medina
558,San Quintin,MX,70.18,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
561,Gigmoto,PH,84.74,broken clouds,13.7796,124.39,Cj's Travellers Inn
564,Pisco,PE,60.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
565,Llanes,ES,61.9,broken clouds,43.4198,-4.7549,Hotel La Paz
566,Sompeta,IN,86.27,scattered clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
569,Twentynine Palms,US,86.13,scattered clouds,34.1356,-116.0542,"Holiday Inn Express & Suites Twentynine Palms- Joshua Tree, an IHG Hotel"
571,Sola,VU,80.38,few clouds,-13.8833,167.55,Leumerus Bungalows
572,Abu Dhabi,AE,87.82,clear sky,24.4667,54.3667,Beach Rotana
573,Pemba,MZ,68.7,few clouds,-12.974,40.5178,Guesthouse Samotina
576,Nouakchott,MR,85.93,broken clouds,18.0858,-15.9785,HOTEL IMAN
579,Dodge City,US,68.25,clear sky,37.7528,-100.0171,Windsor Inn & Suites
583,Mahanoro,MG,70.47,broken clouds,-19.9,48.8,BUNGALOW MAHAMANINA
584,Shahr-E Babak,IR,74.05,clear sky,30.1165,55.1186,سلاطین مس و نقره
585,Ahipara,NZ,61.12,moderate rain,-35.1667,173.1667,Ahipara Holiday Park
586,Samarai,PG,83.37,few clouds,-10.6167,150.6667,Nuli Sapi
587,Nsanje,MW,74.28,clear sky,-16.92,35.262,Nsanje Discovery Lodge
588,Zhob,PK,78.19,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
589,Ariquemes,BR,70.47,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
590,Cotonou,BJ,76.98,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
591,Carlsbad,US,72.27,scattered clouds,33.1581,-117.3506,Carlsbad Inn Beach Resort
