City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Tweed,CA,44.4751,-77.3162,43.23,69,0,1.9,clear sky
299,Torbay,CA,47.6666,-52.7314,55.58,91,100,12.66,overcast clouds
300,Terme,TR,41.2092,36.9739,57.13,64,0,3.8,clear sky
301,Meulaboh,ID,4.1363,96.1285,74.7,95,100,7.27,overcast clouds
302,Kokopo,PG,-4.352,152.2633,87.62,56,13,14.9,few clouds
303,Kontagora,NG,10.3999,5.4695,71.44,93,95,3.85,light rain
304,Margate,GB,51.3813,1.3862,47.3,80,7,6.96,clear sky
305,Isangel,VU,-19.55,169.2667,79.14,61,99,13.15,overcast clouds
306,Qujing,CN,25.4833,103.7833,63.19,86,100,4.09,overcast clouds
307,Goba,ET,7.0167,39.9833,48.83,88,18,4.41,few clouds
308,Sechura,PE,-5.5569,-80.8222,61.97,85,4,11.72,clear sky
309,Jalu,LY,29.0331,21.5482,82.72,22,0,10.76,clear sky
310,Dargaville,NZ,-35.9333,173.8833,61.18,95,100,6.02,light rain
311,Yarada,IN,17.65,83.2667,84.52,79,40,6.91,mist
312,Beisfjord,NO,68.3751,17.5988,46.45,81,15,6.91,few clouds
313,Kibala,TD,9.1104,18.3463,70.11,94,92,0.85,overcast clouds
314,Gogrial,SS,8.5332,28.1004,69.31,96,100,10.71,moderate rain
315,Ixtapa,MX,20.7,-105.2,81.63,83,20,0.0,few clouds
316,Touros,BR,-5.1989,-35.4608,76.08,80,68,13.33,broken clouds
317,Ostrovnoy,RU,68.0531,39.5131,35.58,76,99,10.58,overcast clouds
318,Port Blair,IN,11.6667,92.75,83.19,79,100,18.9,light rain
319,Sorland,NO,67.667,12.6934,51.66,70,100,11.45,overcast clouds
320,Grand-Santi,GF,4.25,-54.3833,73.42,92,44,3.8,scattered clouds
321,Fairbanks,US,64.8378,-147.7164,48.54,72,20,0.0,few clouds
322,Ilorin,NG,8.5,4.55,73.76,100,40,0.0,light rain
323,La Ronge,CA,55.1001,-105.2842,53.85,62,40,10.36,scattered clouds
324,Lagos,NG,6.5833,3.75,75.52,97,100,3.91,light rain
325,Lagoa,PT,39.05,-27.9833,67.78,64,70,4.74,broken clouds
326,Kahului,US,20.8947,-156.47,84.22,63,40,12.66,scattered clouds
327,Skjervoy,NO,70.0311,20.9714,39.2,73,2,13.91,clear sky
328,Saskylakh,RU,71.9167,114.0833,22.66,91,67,7.58,broken clouds
329,Arak,IR,34.0917,49.6892,73.87,13,0,1.05,clear sky
330,Hantsport,CA,45.0668,-64.1654,52.7,94,85,6.35,overcast clouds
331,Mentougou,CN,39.9392,116.0917,79.74,27,0,4.74,clear sky
332,Pangnirtung,CA,66.1451,-65.7125,34.59,67,100,5.01,overcast clouds
333,Naze,JP,28.3667,129.4833,83.32,66,21,7.54,few clouds
334,Medicine Hat,CA,50.0501,-110.6683,59.99,76,20,14.97,few clouds
335,Guerrero Negro,MX,27.9769,-114.0611,72.7,79,5,6.4,clear sky
336,Olafsvik,IS,64.8945,-23.7142,46.81,87,100,24.34,overcast clouds
337,Sitka,US,57.0531,-135.33,55.29,94,100,9.22,light rain
338,Mishan,CN,45.55,131.8833,76.48,49,72,8.16,broken clouds
339,Magole,TZ,-6.3667,37.3667,71.69,70,48,3.2,scattered clouds
340,Praia Da Vitoria,PT,38.7333,-27.0667,65.75,88,40,9.1,scattered clouds
341,Yidu,CN,24.1614,115.1328,94.32,39,53,6.91,broken clouds
342,Raga,SS,8.4596,25.678,70.3,94,100,3.02,overcast clouds
343,Ust-Tsilma,RU,65.441,52.1498,30.81,63,69,9.82,broken clouds
344,Brownsville,US,25.9018,-97.4975,71.55,79,0,0.0,clear sky
345,Cradock,ZA,-32.1642,25.6192,65.62,71,100,7.94,light rain
346,Yar-Sale,RU,66.8333,70.8333,34.0,70,100,6.44,overcast clouds
347,Senno,RU,59.5336,33.9167,44.26,94,99,4.92,overcast clouds
